ID,Country,State,Improved_water_source,Water_piped_into_dwelling,Water_piped_into_yardplot,Public_tap_standpipe,Water_piped_to_neighbor,Tubewell_borehole,Protected_well,Protected_spring,Rainwater,_Bottled_water_demi_john,Unprotected_well_water,Unprotected_spring,Tanker_truck,Cart_with_tank,Sachet_water,Unimproved_bottled_water,Surface_water,Other_water_source
3,Nigeria,Ogun,74,3.2,1.3,9,1.7,50.3,7.3,0,0.4,0.7,2.8,2.1,0,0,14.5,0,6.6,0
7,Nigeria,Ondo,65.6,0.3,0.3,6.8,0,32.5,24,0,1.4,0.3,2.7,0,0,0,12.4,0,19.3,0
4,Nigeria,Osun,81,0.2,0.1,10.3,0.1,36.2,32.3,0.6,0.7,0.7,0.3,0,0.1,0,5.7,0,12.9,0
1,Nigeria,Oyo,77.2,0.6,0.4,1.8,0.4,28.7,45,0,0,0.4,0.3,0.3,0,0,13.2,0,8.7,0.2
28,Nigeria,Plateau,44.7,0,0.7,0.1,0.4,34.8,6.9,0.5,0.9,0.3,35.6,4,0,0.7,3.1,0,11.9,0
18,Nigeria,Sokoto,33.6,3.1,3,4.9,1.1,15.8,5.6,0,0,0,62.2,0,0.2,0.6,0.6,0,0,2.9
13,Nigeria,Taraba,38.6,0.5,0,1,0,21.4,14.8,0,0.8,0.1,12.2,15.9,0.3,5.5,3.5,0.2,23.8,0
29,Nigeria,Yobe,62.7,3,0.3,22.3,0.3,35.6,1.1,0,0,0,30.5,0.3,0.2,6.2,0,0,0.3,0
25,Nigeria,Zamfara,56.2,1.5,0.4,10.5,0.4,35.2,8.1,0.1,0,0,26.5,0,0,0,1.1,0,16.2,0
14,Nigeria,Rivers,77,1.1,3.4,5,0.7,61.7,3.4,0,1.1,0.6,2.8,0,0,0,16.6,0,3.5,0
